,序号,客队半场得分,客队球衣颜色,赢球平均欧指数,客队名称,本场比赛序号,主队盘路名称,客队盘路名称,盘路,status,平球平均欧指,主队ID,比赛时间,澳门盘口,输球平均欧指,主队本轮排名,主队名称,客队得分,主队得分,主队半场得分,轮次,客队本轮排名
22,2,lblue,,切沃,1174,3914,尤文图斯,切 沃,输,5,,1330,2001-09-16 02:30,球半,,1,尤文图斯,2,3,2,3,2
23,0,lblue,,都灵,776,3915,拉齐奥,都  灵,输,5,,964,2001-09-16 02:30,一球/球半,,12,拉齐奥,0,0,0,3,14
24,0,lred,,罗马,1032,3919,皮亚琴,罗 马,赢,5,,1162,2001-09-16 02:30,受半球,,13,皮亚琴察,0,2,1,3,11
25,1,lblue,,AC米兰,210,3923,乌迪内斯,AC米兰,输,5,,1276,2001-09-16 02:30,受半球,,10,乌迪内斯,2,1,0,3,3
26,1,lblue,,佩鲁贾,1154,3924,维罗纳,佩鲁贾,输,5,,1261,2001-09-16 02:30,半球,,7,维罗纳,1,1,0,3,15
27,0,lred,,维罗纳,1261,3967,亚特兰大,维罗纳,赢,5,,1308,2001-09-23 02:30,平手/半球,,17,亚特兰大,0,1,1,4,8
28,1,lred,,皮亚琴察,1162,3970,切 沃,皮亚琴,赢,5,,1174,2001-09-23 02:30,平手/半球,,4,切沃,2,4,2,4,9
29,0,lred,,尤文图斯,1330,3973,莱  切,尤文图斯,赢,5,,972,2001-09-23 02:30,受半球,,7,莱切,0,0,0,4,1
30,0,lred,,拉齐奥,964,3978,AC米兰,拉齐奥,赢,5,,210,2001-09-23 02:30,半球,,2,AC米兰,0,2,1,4,10
31,0,lred,,布雷西亚,727,3981,帕尔马,布雷西,赢,5,,1149,2001-09-23 02:30,半球,,13,帕尔马,0,1,0,4,6
32,1,lblue,,乌迪内斯,1276,3982,佩鲁贾,乌迪内斯,输,5,,1154,2001-09-23 02:30,平手/半球,,16,佩鲁贾,2,1,1,4,12
33,1,lblue,,佛罗伦萨,803,3984,罗 马,佛罗伦萨,输半,5,,1032,2001-09-23 02:30,一球/球半,,15,罗马,1,2,1,4,11
34,0,lblue,,国际米兰,846,3986,都  灵,国际米兰,输,5,,776,2001-09-23 02:30,受半球,,14,都灵,1,0,0,4,3
35,0,lblue,,博洛尼亚,707,3987,威尼斯,博洛尼亚,输,5,,1249,2001-09-23 02:30,平手/半球,,18,威尼斯,1,0,0,4,5
36,3,lblue,,亚特兰大,1308,4034,布雷西,亚特兰大,输,5,,727,2001-09-30 02:30,半球,,7,布雷西亚,3,3,1,5,15
37,0,lred,,威尼斯,1249,4035,佛罗伦萨,威尼斯,赢,5,,803,2001-09-30 02:30,一球,,14,佛罗伦萨,1,3,1,5,18
38,0,lgreen,,博洛尼亚,707,4037,国际米兰,博洛尼亚,走盘,5,,846,2001-09-30 02:30,一球,,3,国际米兰,0,1,1,5,5
39,1,lblue,,罗马,1032,4039,尤文图斯,罗 马,输,5,,1330,2001-09-30 02:30,半球,,1,尤文图斯,2,0,0,5,11
40,0,lblue,,帕尔马,1149,4040,拉齐奥,帕尔马,输半,5,,964,2001-09-30 02:30,平手/半球,,13,拉齐奥,0,0,0,5,9
41,0,lred,,都灵,776,4047,皮亚琴,都  灵,赢,5,,1162,2001-09-30 02:30,平手/半球,,12,皮亚琴察,1,3,2,5,16
42,0,lred,,AC米兰,210,4048,佩鲁贾,AC米兰,赢,5,,1154,2001-09-30 02:30,受半球/一球,,17,佩鲁贾,1,3,0,5,2
43,2,lblue,,切沃,1174,4051,乌迪内斯,切 沃,输,5,,1276,2001-09-30 02:30,平手/半球,,8,乌迪内斯,2,1,1,5,4
44,1,lred,,莱切,972,4052,维罗纳,莱  切,赢,5,,1261,2001-09-30 02:30,平手/半球,,10,维罗纳,1,2,1,5,6
45,0,lgreen,,AC米兰,210,3023,亚特兰大,AC米兰,走盘,5,,1308,2001-10-10 02:30,平手,,16,亚特兰大,1,1,0,6,4
46,1,lblue,,乌迪内斯,1276,3024,博洛尼亚,乌迪内斯,输,5,,707,2001-10-10 02:30,半球,,5,博洛尼亚,1,0,0,6,13
47,0,lred,,尤文图斯,1330,3025,佛罗伦萨,尤文图斯,赢,5,,803,2001-10-10 02:30,受半球,,12,佛罗伦萨,1,1,1,6,3
48,0,lred,,维罗纳,1261,3026,国际米兰,维罗纳,赢,5,,846,2001-10-10 02:30,一球/球半,,1,国际米兰,0,3,1,6,7
49,2,lblue,,佩鲁贾,1154,3027,莱  切,佩鲁贾,输,5,,972,2001-10-10 02:30,半球,,10,莱切,3,2,1,6,14
50,0,lblue,,布雷西亚,727,3028,罗 马,布雷西,输,5,,1032,2001-10-10 02:30,球半,,6,罗马,0,0,0,6,9
51,0,lred,,帕尔马,1149,3029,都  灵,帕尔马,赢,5,,776,2001-10-10 02:30,平手/半球,,17,都灵,0,1,1,6,11
52,1,lblue,,皮亚琴察,1162,3030,威尼斯,皮亚琴,输,5,,1249,2001-10-10 02:30,平手/半球,,18,威尼斯,3,2,1,6,8
53,1,lred,,拉齐奥,964,4234,切 沃,拉齐奥,赢,5,,1174,2002-01-31 22:30,平手/半球,,4,切沃,1,3,2,6,7
54,1,lblue,,切沃,1174,3061,布雷西,切 沃,输半,5,,727,2001-10-14 02:30,平手/半球,,11,布雷西亚,2,2,0,7,2
55,0,lblue,,都灵,776,3063,尤文图斯,都  灵,输,5,,1330,2001-10-14 02:30,一球/球半,,3,尤文图斯,3,3,3,7,16
56,0,lred,,亚特兰大,1308,3065,拉齐奥,亚特兰大,赢,5,,964,2001-10-14 02:30,一球,,17,拉齐奥,0,2,1,7,15
57,1,lred,,佛罗伦萨,803,3066,莱  切,佛罗伦萨,赢,5,,972,2001-10-14 02:30,平手/半球,,13,莱切,1,4,2,7,12
58,0,lblue,,威尼斯,1249,3069,AC米兰,威尼斯,输,5,,210,2001-10-14 02:30,球半/两球,,4,AC米兰,1,1,1,7,18
59,0,lblue,,皮亚琴察,1162,3072,帕尔马,皮亚琴,输,5,,1149,2001-10-14 02:30,半球/一球,,14,帕尔马,2,2,1,7,5
60,0,lblue,,罗马,1032,3073,佩鲁贾,罗 马,输半,5,,1154,2001-10-14 02:30,平手/半球,,9,佩鲁贾,0,0,0,7,6
61,0,lred,,国际米兰,846,3076,乌迪内斯,国际米兰,赢,5,,1276,2001-10-14 02:30,受半球,,8,乌迪内斯,1,1,0,7,1
62,1,lblue,,博洛尼亚,707,3077,维罗纳,博洛尼亚,输,5,,1261,2001-10-14 02:30,平手/半球,,10,维罗纳,1,0,0,7,7
63,1,lblue,,乌迪内斯,1276,3114,亚特兰大,乌迪内斯,输,5,,1308,2001-10-21 02:30,平手/半球,,17,亚特兰大,5,1,0,8,9
64,0,lred,,尤文图斯,1330,3116,博洛尼亚,尤文图斯,赢半,5,,707,2001-10-21 02:30,受平手/半球,,5,博洛尼亚,0,0,0,8,3
65,0,lred,,帕尔马,1149,3118,切 沃,帕尔马,赢,5,,1174,2001-10-21 02:30,平手,,2,切沃,0,1,1,8,14
66,1,lblue,,维罗纳,1261,3120,佛罗伦萨,维罗纳,输,5,,803,2001-10-21 02:30,半球,,15,佛罗伦萨,2,0,0,8,12
67,0,lblue,,AC米兰,210,3123,国际米兰,AC米兰,输,5,,846,2001-10-21 02:30,平手,,1,国际米兰,4,2,1,8,4
68,1,lblue,,布雷西亚,727,3129,皮亚琴,布雷西,输,5,,1162,2001-10-21 02:30,平手,,6,皮亚琴察,1,0,0,8,11
69,0,lred,,莱切,972,3131,罗 马,莱  切,赢,5,,1032,2001-10-21 02:30,一球/球半,,7,罗马,1,5,2,8,8
70,0,lred,,佩鲁贾,1154,3132,都  灵,佩鲁贾,赢,5,,776,2001-10-21 02:30,平手/半球,,16,都灵,0,1,1,8,10
71,0,lred,,拉齐奥,964,3134,威尼斯,拉齐奥,赢,5,,1249,2001-10-21 02:30,受半球,,18,威尼斯,0,0,0,8,13
72,0,lred,,威尼斯,1249,3181,布雷西,威尼斯,赢半,5,,727,2001-10-28 02:30,半球/一球,,8,布雷西亚,2,3,0,9,18
73,0,lred,,都灵,776,3182,切 沃,都  灵,赢,5,,1174,2001-10-28 02:30,半球/一球,,2,切沃,0,3,1,9,13
74,0,lblue,,国际米兰,846,3186,尤文图斯,国际米兰,输,5,,1330,2001-10-28 02:30,半球,,4,尤文图斯,0,0,0,9,1
75,1,lblue,,亚特兰大,1308,3187,莱  切,亚特兰大,输,5,,972,2001-10-28 02:30,半球,,11,莱切,2,0,0,9,17
76,0,lblue,,博洛尼亚,707,3190,AC米兰,博洛尼亚,输,5,,210,2001-10-28 02:30,一球,,3,AC米兰,0,0,0,9,6
77,2,lblue,,维罗纳,1261,3193,帕尔马,维罗纳,输,5,,1149,2001-10-28 02:30,半球/一球,,15,帕尔马,2,2,0,9,10
78,0,lred,,皮亚琴察,1162,3194,佩鲁贾,皮亚琴,赢,5,,1154,2001-10-28 02:30,半球,,12,佩鲁贾,0,1,0,9,9
79,0,lred,,拉齐奥,964,3196,罗 马,拉齐奥,赢,5,,1032,2001-10-28 02:30,半球,,5,罗马,0,2,0,9,14
80,0,lblue,,佛罗伦萨,803,3198,乌迪内斯,佛罗伦萨,输,5,,1276,2001-10-28 02:30,半球/一球,,7,乌迪内斯,2,1,1,9,16
81,0,lred,,罗马,1032,3364,亚特兰大,罗 马,赢半,5,,1308,2001-11-04 02:30,受平手/半球,,17,亚特兰大,1,1,0,10,3
82,2,lred,,佛罗伦萨,803,3366,博洛尼亚,佛罗伦萨,赢半,5,,707,2001-11-04 02:30,半球/一球,,7,博洛尼亚,2,3,3,10,12
83,0,lred,,莱切,972,3370,国际米兰,莱  切,赢,5,,846,2001-11-04 02:30,一球/球半,,2,国际米兰,0,2,2,10,13
84,0,lred,,布雷西亚,727,3371,拉齐奥,布雷西,赢,5,,964,2001-11-04 02:30,半球/一球,,16,拉齐奥,0,5,3,10,6
85,0,lred,,佩鲁贾,1154,3376,帕尔马,佩鲁贾,赢半,5,,1149,2001-11-04 02:30,半球/一球,,15,帕尔马,1,2,1,10,9
86,1,lblue,,乌迪内斯,1276,3377,皮亚琴,乌迪内斯,输,5,,1162,2001-11-04 02:30,平手/半球,,11,皮亚琴察,2,1,0,10,8
87,0,lred,,AC米兰,210,3379,都  灵,AC米兰,赢,5,,776,2001-11-04 02:30,受平手/半球,,14,都灵,0,1,1,10,4
88,0,lred,,切沃,1174,3380,威尼斯,切 沃,赢半,5,,1249,2001-11-04 02:30,受平手/半球,,18,威尼斯,0,0,0,10,1
89,0,lred,,尤文图斯,1330,3381,维罗纳,尤文图斯,赢,5,,1261,2001-11-04 02:30,受半球,,10,维罗纳,2,2,1,10,5
90,0,lred,,威尼斯,1249,3245,亚特兰大,威尼斯,赢半,5,,1308,2001-11-18 02:30,半球/一球,,17,亚特兰大,0,1,1,11,18
91,0,lblue,,都灵,776,3249,佛罗伦萨,都  灵,输半,5,,803,2001-11-18 02:30,平手/半球,,15,佛罗伦萨,0,0,0,11,11
92,1,lred,,帕尔马,1149,3251,尤文图斯,帕尔马,赢,5,,1330,2001-11-18 02:30,半球/一球,,6,尤文图斯,1,3,1,11,14
93,0,lred,,博洛尼亚,707,3252,莱  切,博洛尼亚,赢,5,,972,2001-11-18 02:30,平手,,16,莱切,0,1,1,11,4
94,0,lblue,,皮亚琴察,1162,3255,AC米兰,皮亚琴,输,5,,210,2001-11-18 02:30,球半,,5,AC米兰,0,0,0,11,13
95,1,lblue,,布雷西亚,727,3257,佩鲁贾,布雷西,输半,5,,1154,2001-11-18 02:30,平手/半球,,10,佩鲁贾,1,1,1,11,8
96,0,lblue,,国际米兰,846,3260,罗 马,国际米兰,输半,5,,1032,2001-11-18 02:30,平手/半球,,3,罗马,0,0,0,11,1
97,0,lblue,,拉齐奥,964,3263,乌迪内斯,拉齐奥,输,5,,1276,2001-11-18 02:30,受平手/半球,,7,乌迪内斯,4,1,0,11,12
98,2,lred,,切沃,1174,3264,维罗纳,切 沃,赢,5,,1261,2001-11-18 02:30,平手,,9,维罗纳,2,3,1,11,2
99,3,lblue,,罗马,1032,3305,博洛尼亚,罗 马,输,5,,707,2001-11-25 02:30,平手,,6,博洛尼亚,3,1,1,12,4
100,0,lred,,乌迪内斯,1276,3306,布雷西,乌迪内斯,赢,5,,727,2001-11-25 02:30,平手,,9,布雷西亚,0,2,2,12,8
101,0,lred,,佩鲁贾,1154,3307,切 沃,佩鲁贾,赢,5,,1174,2001-11-25 02:30,半球/一球,,2,切沃,0,2,1,12,11
102,0,lred,,佛罗伦萨,803,3309,国际米兰,佛罗伦萨,赢,5,,846,2001-11-25 02:30,一球/球半,,1,国际米兰,0,2,1,12,17
103,0,lred,,尤文图斯,1330,3310,拉齐奥,尤文图斯,赢,5,,964,2001-11-25 02:30,平手/半球,,10,拉齐奥,0,1,0,12,3
104,1,lblue,,AC米兰,210,3316,帕尔马,AC米兰,输,5,,1149,2001-11-25 02:30,平手/半球,,16,帕尔马,1,0,0,12,5
105,0,lblue,,亚特兰大,1308,3317,皮亚琴,亚特兰大,输,5,,1162,2001-11-25 02:30,平手/半球,,13,皮亚琴察,2,1,1,12,15
106,1,lred,,维罗纳,1261,3319,都  灵,维罗纳,赢,5,,776,2001-11-25 02:30,平手/半球,,12,都灵,1,5,0,12,7
107,0,lblue,,莱切,972,3321,威尼斯,莱  切,输,5,,1249,2001-11-25 02:30,半球,,18,威尼斯,1,1,0,12,14
108,1,lblue,,国际米兰,846,3558,亚特兰大,国际米兰,输,5,,1308,2001-12-02 02:30,受平手/半球,,12,亚特兰大,4,2,2,13,1
109,0,lred,,都灵,776,3559,博洛尼亚,都  灵,赢,5,,707,2001-12-02 02:30,平手/半球,,8,博洛尼亚,0,1,1,13,9
110,1,lblue,,皮亚琴察,1162,3561,佛罗伦萨,皮亚琴,输,5,,803,2001-12-02 02:30,半球,,17,佛罗伦萨,3,1,0,13,15
111,0,lred,,佩鲁贾,1154,3563,尤文图斯,佩鲁贾,赢,5,,1330,2001-12-02 02:30,一球/球半,,5,尤文图斯,0,2,0,13,13
112,0,lblue,,拉齐奥,964,3564,莱  切,拉齐奥,输,5,,972,2001-12-02 02:30,受平手/半球,,14,莱切,2,1,0,13,7
113,2,lred,,切沃,1174,3565,AC米兰,切 沃,赢半,5,,210,2001-12-02 02:30,半球/一球,,4,AC米兰,2,3,1,13,2
114,0,lblue,,威尼斯,1249,3567,罗 马,威尼斯,输,5,,1032,2001-12-02 02:30,球半,,3,罗马,0,1,0,13,18
115,2,lred,,帕尔马,1149,3569,乌迪内斯,帕尔马,赢,5,,1276,2001-12-02 02:30,平手,,11,乌迪内斯,2,3,2,13,16
116,0,lred,,布雷西亚,727,3570,维罗纳,布雷西,赢,5,,1261,2001-12-02 02:30,半球,,10,维罗纳,0,2,1,13,6
117,1,lblue,,国际米兰,846,3605,布雷西,国际米兰,输,5,,727,2001-12-09 02:30,受半球,,10,布雷西亚,3,1,1,14,1
118,0,lgreen,,莱切,972,3606,切 沃,莱  切,走盘,5,,1174,2001-12-09 02:30,一球,,3,切沃,1,2,1,14,14
119,0,lred,,佛罗伦萨,803,3610,拉齐奥,佛罗伦萨,赢,5,,964,2001-12-09 02:30,球半/两球,,6,拉齐奥,0,3,1,14,17
120,0,lblue,,尤文图斯,1330,3612,AC米兰,尤文图斯,输半,5,,210,2001-12-09 02:30,平手/半球,,4,AC米兰,1,1,1,14,5
121,0,lblue,,罗马,1032,3614,帕尔马,罗 马,输,5,,1149,2001-12-09 02:30,平手,,16,帕尔马,2,1,1,14,2
122,0,lred,,博洛尼亚,707,3615,皮亚琴,博洛尼亚,赢,5,,1162,2001-12-09 02:30,平手/半球,,12,皮亚琴察,0,2,0,14,7
123,0,lred,,威尼斯,1249,3616,佩鲁贾,威尼斯,赢,5,,1154,2001-12-09 02:30,半球/一球,,15,佩鲁贾,0,2,1,14,18
124,1,lblue,,亚特兰大,1308,3620,都  灵,亚特兰大,输,5,,776,2001-12-09 02:30,平手/半球,,11,都灵,2,1,1,14,13
125,0,lred,,维罗纳,1261,3621,乌迪内斯,维罗纳,赢,5,,1276,2001-12-09 02:30,半球,,9,乌迪内斯,1,2,0,14,8
126,0,lred,,帕尔马,1149,3425,亚特兰大,帕尔马,赢,5,,1308,2001-12-16 02:30,平手,,12,亚特兰大,1,4,2,15,16
127,1,lred,,佩鲁贾,1154,3426,博洛尼亚,佩鲁贾,赢半,5,,707,2001-12-16 02:30,半球/一球,,8,博洛尼亚,1,2,2,15,14
128,0,lred,,布雷西亚,727,3428,佛罗伦萨,布雷西,赢,5,,803,2001-12-16 02:30,平手/半球,,17,佛罗伦萨,0,1,0,15,11
129,1,lblue,,切沃,1174,3429,国际米兰,切 沃,输,5,,846,2001-12-16 02:30,一球,,1,国际米兰,2,1,1,15,3
130,0,lred,,皮亚琴察,1162,3430,尤文图斯,皮亚琴,赢,5,,1330,2001-12-16 02:30,球半,,6,尤文图斯,0,2,1,15,10
131,0,lblue,,都灵,776,3431,莱  切,都  灵,输,5,,972,2001-12-16 02:30,半球,,15,莱切,1,1,0,15,13
132,0,lred,,AC米兰,210,3434,罗 马,AC米兰,赢,5,,1032,2001-12-16 02:30,平手/半球,,2,罗马,0,1,1,15,4
133,0,lred,,乌迪内斯,1276,3435,威尼斯,乌迪内斯,赢,5,,1249,2001-12-16 02:30,平手,,18,威尼斯,1,2,1,15,7
134,0,lred,,拉齐奥,964,3436,维罗纳,拉齐奥,赢,5,,1261,2001-12-16 02:30,受平手/半球,,9,维罗纳,1,3,2,15,5
135,2,lblue,,尤文图斯,1330,3505,布雷西,尤文图斯,输,5,,727,2001-12-23 02:30,受平手/半球,,12,布雷西亚,4,0,0,16,4
136,1,lblue,,罗马,1032,3507,切 沃,罗 马,输,5,,1174,2001-12-23 02:30,平手,,3,切沃,3,0,0,16,2
137,1,lblue,,博洛尼亚,707,3508,拉齐奥,博洛尼亚,输,5,,964,2001-12-23 02:30,一球/球半,,6,拉齐奥,2,2,2,16,7
138,0,lblue,,维罗纳,1261,3510,AC米兰,维罗纳,输半,5,,210,2001-12-23 02:30,一球/球半,,5,AC米兰,1,2,0,16,8
139,0,lred,,佛罗伦萨,803,3511,帕尔马,佛罗伦萨,赢,5,,1149,2001-12-23 02:30,半球/一球,,17,帕尔马,0,2,0,16,16
140,1,lblue,,国际米兰,846,3512,皮亚琴,国际米兰,输,5,,1162,2001-12-23 02:30,受半球,,11,皮亚琴察,3,2,0,16,1
141,0,lred,,亚特兰大,1308,3513,佩鲁贾,亚特兰大,赢,5,,1154,2001-12-23 02:30,平手/半球,,14,佩鲁贾,0,2,0,16,10
142,1,lblue,,威尼斯,1249,3514,都  灵,威尼斯,输,5,,776,2001-12-23 02:30,半球/一球,,13,都灵,2,1,0,16,18
143,1,lblue,,莱切,972,3515,乌迪内斯,莱  切,输,5,,1276,2001-12-23 02:30,半球/一球,,9,乌迪内斯,1,0,0,16,15
144,0,lblue,,切沃,1174,4255,亚特兰大,切 沃,输,5,,1308,2002-01-06 02:30,平手/半球,,10,亚特兰大,2,1,1,17,3
145,1,lred,,布雷西亚,727,4256,博洛尼亚,布雷西,赢,5,,707,2002-01-06 02:30,半球,,7,博洛尼亚,1,2,2,17,13
146,1,lblue,,佩鲁贾,1154,4257,佛罗伦萨,佩鲁贾,输,5,,803,2002-01-06 02:30,半球,,17,佛罗伦萨,3,1,1,17,11
147,0,lblue,,拉齐奥,964,4258,国际米兰,拉齐奥,输,5,,846,2002-01-06 02:30,半球,,1,国际米兰,0,0,0,17,6
148,0,lred,,乌迪内斯,1276,4259,尤文图斯,乌迪内斯,赢,5,,1330,2002-01-06 02:30,一球/球半,,4,尤文图斯,0,3,3,17,9
149,0,lblue,,AC米兰,210,4260,莱  切,AC米兰,输,5,,972,2002-01-06 02:30,受平手/半球,,15,莱切,1,0,0,17,5
150,0,lblue,,都灵,776,4261,罗 马,都  灵,输半,5,,1032,2002-01-06 02:30,一球/球半,,2,罗马,0,1,1,17,14
151,3,lblue,,帕尔马,1149,4262,威尼斯,帕尔马,输,5,,1249,2002-01-06 02:30,受平手/半球,,18,威尼斯,4,3,2,17,16
152,0,lred,,皮亚琴察,1162,4263,维罗纳,皮亚琴,赢,5,,1261,2002-01-06 02:30,半球,,8,维罗纳,0,1,0,17,12
153,1,lblue,,博洛尼亚,707,4125,亚特兰大,博洛尼亚,输,5,,1308,2002-01-13 02:30,半球,,11,亚特兰大,2,2,2,18,6
154,1,lblue,,佛罗伦萨,803,4126,切 沃,佛罗伦萨,输,5,,1174,2002-01-13 02:30,一球/球半,,3,切沃,2,2,1,18,17
155,0,lblue,,布雷西亚,727,4128,AC米兰,布雷西,输,5,,210,2002-01-13 02:30,一球/球半,,5,AC米兰,0,0,0,18,13
156,0,lblue,,莱切,972,4129,帕尔马,莱  切,输,5,,1149,2002-01-13 02:30,一球,,15,帕尔马,1,1,0,18,16
157,0,lred,,拉齐奥,964,4130,皮亚琴,拉齐奥,赢,5,,1162,2002-01-13 02:30,受平手/半球,,12,皮亚琴察,0,1,0,18,7
158,0,lblue,,国际米兰,846,4131,佩鲁贾,国际米兰,输,5,,1154,2002-01-13 02:30,受半球,,9,佩鲁贾,2,0,0,18,2
159,1,lblue,,维罗纳,1261,4132,罗 马,维罗纳,输半,5,,1032,2002-01-13 02:30,一球/球半,,1,罗马,2,3,0,18,8
160,1,lred,,乌迪内斯,1276,4134,都  灵,乌迪内斯,赢,5,,776,2002-01-13 02:30,半球,,14,都灵,1,3,1,18,10
161,1,lred,,尤文图斯,1330,4135,威尼斯,尤文图斯,赢半,5,,1249,2002-01-13 02:30,受一球/球半,,18,威尼斯,2,1,0,18,4
162,0,lred,,切沃,1174,4173,博洛尼亚,切 沃,赢,5,,707,2002-01-20 02:30,平手/半球,,6,博洛尼亚,1,3,1,19,4
163,0,lblue,,都灵,776,4174,布雷西,都  灵,输,5,,727,2002-01-20 02:30,半球,,14,布雷西亚,2,1,0,19,13
164,0,lred,,AC米兰,210,4176,佛罗伦萨,AC米兰,赢半,5,,803,2002-01-20 02:30,受平手/半球,,17,佛罗伦萨,1,1,0,19,5
165,0,lred,,帕尔马,1149,4177,国际米兰,帕尔马,赢,5,,846,2002-01-20 02:30,一球,,2,国际米兰,0,2,1,19,15
166,0,lred,,亚特兰大,1308,4178,尤文图斯,亚特兰大,赢,5,,1330,2002-01-20 02:30,球半,,3,尤文图斯,0,3,2,19,10
167,0,lred,,佩鲁贾,1154,4179,拉齐奥,佩鲁贾,赢,5,,964,2002-01-20 02:30,一球,,7,拉齐奥,0,5,2,19,9
168,0,lblue,,皮亚琴察,1162,4180,莱  切,皮亚琴,输半,5,,972,2002-01-20 02:30,平手/半球,,16,莱切,0,0,0,19,11
169,0,lred,,罗马,1032,4182,乌迪内斯,罗 马,赢,5,,1276,2002-01-20 02:30,受半球,,12,乌迪内斯,1,1,0,19,1
170,0,lred,,威尼斯,1249,4183,维罗纳,威尼斯,赢半,5,,1261,2002-01-20 02:30,半球/一球,,8,维罗纳,0,1,1,19,18
171,0,lred,,佛罗伦萨,803,4204,亚特兰大,佛罗伦萨,赢,5,,1308,2002-01-27 02:30,平手/半球,,13,亚特兰大,0,2,1,20,17
172,1,lblue,,尤文图斯,1330,4205,切 沃,尤文图斯,输,5,,1174,2002-01-27 02:30,受半球,,4,切沃,3,1,0,20,3
173,1,lblue,,布雷西亚,727,4206,莱  切,布雷西,输,5,,972,2002-01-27 02:30,平手,,14,莱切,3,1,1,20,15
174,1,lblue,,乌迪内斯,1276,4207,AC米兰,乌迪内斯,输,5,,210,2002-01-27 02:30,一球/球半,,5,AC米兰,3,2,2,20,11
175,0,lred,,博洛尼亚,707,4208,帕尔马,博洛尼亚,赢,5,,1149,2002-01-27 02:30,半球,,16,帕尔马,1,2,2,20,6
176,1,lred,,维罗纳,1261,4209,佩鲁贾,维罗纳,赢,5,,1154,2002-01-27 02:30,平手/半球,,12,佩鲁贾,1,3,0,20,8
177,0,lred,,皮亚琴察,1162,4210,罗 马,皮亚琴,赢,5,,1032,2002-01-27 02:30,一球/球半,,2,罗马,0,2,1,20,10
